day,hour,temperature,rain_mm3,rain,windspeed
2018-09-01,00,26.6,0,0,0.95
2018-09-01,01,25.2,0,0,0.95
2018-09-01,02,24.3,0,0,0.95
2018-09-01,03,22.9,0,0,0.95
2018-09-01,04,22.6,0,0,0.95
2018-09-01,05,21.9,0,0,0.95
2018-09-01,06,21.4,0,0,0.95
2018-09-01,07,21,0,0,0.95
2018-09-01,08,20.6,0,0,0.95
2018-09-01,09,22,0,0,0.95
2018-09-01,10,24.5,0,0,0.95
2018-09-01,11,26.7,0,0,0.95
2018-09-01,12,27.7,0,0,0.95
2018-09-01,13,29.2,0,0,0.95
2018-09-01,14,30.6,0,0,0.95
2018-09-01,15,32.7,0,0,0.95
2018-09-01,16,34.6,0,0,0.95
2018-09-01,17,34.7,0,0,0.95
2018-09-01,18,34.3,0,0,0.95
2018-09-01,19,34,0,0,0.95
2018-09-01,20,32.3,0,0,0.95
2018-09-01,21,28.5,0,0,0.95
2018-09-01,22,25.9,0,0,0.95
2018-09-01,23,24.9,0,0,0.95
2018-09-02,00,24.3,0,0,1.7
2018-09-02,01,25.3,0,0,1.7
2018-09-02,02,26.2,0,0,1.7
2018-09-02,03,24.7,0,0,1.7
2018-09-02,04,23.6,0,0,1.7
2018-09-02,05,23,0,0,1.7
2018-09-02,06,22.5,0,0,1.7
2018-09-02,07,22.2,0,0,1.7
2018-09-02,08,22.5,0,0,1.7
2018-09-02,09,23.6,0,0,1.7
2018-09-02,10,26,0,0,1.7
2018-09-02,11,28.2,0,0,1.7
2018-09-02,12,28.4,0,0,1.7
2018-09-02,13,31.2,0,0,1.7
2018-09-02,14,32.1,0,0,1.7
2018-09-02,15,33.7,0,0,1.7
2018-09-02,16,37.2,0,0,1.7
2018-09-02,17,37.2,0,0,1.7
2018-09-02,18,36,0,0,1.7
2018-09-02,19,35.4,0,0,1.7
2018-09-02,20,33.3,0,0,1.7
2018-09-02,21,29.5,0,0,1.7
2018-09-02,22,27.4,0,0,1.7
2018-09-02,23,26.9,0,0,1.7
2018-09-03,00,25.3,0,0,1.7
2018-09-03,01,24.6,0,0,1.7
2018-09-03,02,23.6,0,0,1.7
2018-09-03,03,21.8,0,0,1.7
2018-09-03,04,21.6,0,0,1.7
2018-09-03,05,24.6,0,0,1.7
2018-09-03,06,24.1,0,0,1.7
2018-09-03,07,22.9,0,0,1.7
2018-09-03,08,20.9,0,0,1.7
2018-09-03,09,22,0,0,1.7
2018-09-03,10,25,0,0,1.7
2018-09-03,11,25.6,0,0,1.7
2018-09-03,12,27.6,0,0,1.7
