day,hour,date,day_of_week,registered,casual,total,temperature,rain_mm3,rain,windspeed
2018-09-01,1,2018-09-01 01:00:00+02:00,Saturday,474,17,491,25.2,0.0,0.0,0.95
2018-09-01,2,2018-09-01 02:00:00+02:00,Saturday,369,3,372,24.3,0.0,0.0,0.95
2018-09-01,3,2018-09-01 03:00:00+02:00,Saturday,290,2,292,22.9,0.0,0.0,0.95
2018-09-01,4,2018-09-01 04:00:00+02:00,Saturday,208,2,210,22.6,0.0,0.0,0.95
2018-09-01,5,2018-09-01 05:00:00+02:00,Saturday,152,1,153,21.9,0.0,0.0,0.95
2018-09-01,6,2018-09-01 06:00:00+02:00,Saturday,127,2,129,21.4,0.0,0.0,0.95
2018-09-01,7,2018-09-01 07:00:00+02:00,Saturday,101,1,102,21.0,0.0,0.0,0.95
2018-09-01,8,2018-09-01 08:00:00+02:00,Saturday,142,1,143,20.6,0.0,0.0,0.95
2018-09-01,9,2018-09-01 09:00:00+02:00,Saturday,237,0,237,22.0,0.0,0.0,0.95
2018-09-01,10,2018-09-01 10:00:00+02:00,Saturday,290,9,299,24.5,0.0,0.0,0.95
2018-09-01,11,2018-09-01 11:00:00+02:00,Saturday,389,21,410,26.7,0.0,0.0,0.95
2018-09-01,12,2018-09-01 12:00:00+02:00,Saturday,474,25,499,27.7,0.0,0.0,0.95
2018-09-01,13,2018-09-01 13:00:00+02:00,Saturday,490,21,511,29.2,0.0,0.0,0.95
2018-09-01,14,2018-09-01 14:00:00+02:00,Saturday,460,14,474,30.6,0.0,0.0,0.95
2018-09-01,15,2018-09-01 15:00:00+02:00,Saturday,352,10,362,32.7,0.0,0.0,0.95
2018-09-01,16,2018-09-01 16:00:00+02:00,Saturday,452,19,471,34.6,0.0,0.0,0.95
2018-09-01,17,2018-09-01 17:00:00+02:00,Saturday,486,24,510,34.7,0.0,0.0,0.95
2018-09-01,18,2018-09-01 18:00:00+02:00,Saturday,475,18,493,34.3,0.0,0.0,0.95
2018-09-01,19,2018-09-01 19:00:00+02:00,Saturday,656,22,678,34.0,0.0,0.0,0.95
2018-09-01,20,2018-09-01 20:00:00+02:00,Saturday,688,17,705,32.3,0.0,0.0,0.95
2018-09-01,21,2018-09-01 21:00:00+02:00,Saturday,599,13,612,28.5,0.0,0.0,0.95
2018-09-01,22,2018-09-01 22:00:00+02:00,Saturday,494,11,505,25.9,0.0,0.0,0.95
2018-09-01,23,2018-09-01 23:00:00+02:00,Saturday,413,23,436,24.9,0.0,0.0,0.95
2018-09-02,0,2018-09-02 00:00:00+02:00,Sunday,470,6,476,24.3,0.0,0.0,1.7
2018-09-02,1,2018-09-02 01:00:00+02:00,Sunday,448,9,457,25.3,0.0,0.0,1.7
2018-09-02,2,2018-09-02 02:00:00+02:00,Sunday,357,0,357,26.2,0.0,0.0,1.7
2018-09-02,3,2018-09-02 03:00:00+02:00,Sunday,241,2,243,24.7,0.0,0.0,1.7
2018-09-02,4,2018-09-02 04:00:00+02:00,Sunday,176,5,181,23.6,0.0,0.0,1.7
2018-09-02,5,2018-09-02 05:00:00+02:00,Sunday,164,1,165,23.0,0.0,0.0,1.7
2018-09-02,6,2018-09-02 06:00:00+02:00,Sunday,149,3,152,22.5,0.0,0.0,1.7
2018-09-02,7,2018-09-02 07:00:00+02:00,Sunday,85,0,85,22.2,0.0,0.0,1.7
2018-09-02,8,2018-09-02 08:00:00+02:00,Sunday,112,8,120,22.5,0.0,0.0,1.7
2018-09-02,9,2018-09-02 09:00:00+02:00,Sunday,151,2,153,23.6,0.0,0.0,1.7
2018-09-02,10,2018-09-02 10:00:00+02:00,Sunday,272,11,283,26.0,0.0,0.0,1.7
2018-09-02,11,2018-09-02 11:00:00+02:00,Sunday,354,31,385,28.2,0.0,0.0,1.7
2018-09-02,12,2018-09-02 12:00:00+02:00,Sunday,460,35,495,28.4,0.0,0.0,1.7
2018-09-02,13,2018-09-02 13:00:00+02:00,Sunday,475,24,499,31.2,0.0,0.0,1.7
2018-09-02,14,2018-09-02 14:00:00+02:00,Sunday,464,27,491,32.1,0.0,0.0,1.7
2018-09-02,15,2018-09-02 15:00:00+02:00,Sunday,372,19,391,33.7,0.0,0.0,1.7
2018-09-02,16,2018-09-02 16:00:00+02:00,Sunday,412,12,424,37.2,0.0,0.0,1.7
2018-09-02,17,2018-09-02 17:00:00+02:00,Sunday,421,39,460,37.2,0.0,0.0,1.7
2018-09-02,18,2018-09-02 18:00:00+02:00,Sunday,557,23,580,36.0,0.0,0.0,1.7
2018-09-02,19,2018-09-02 19:00:00+02:00,Sunday,636,28,664,35.4,0.0,0.0,1.7
2018-09-02,20,2018-09-02 20:00:00+02:00,Sunday,679,11,690,33.3,0.0,0.0,1.7
2018-09-02,21,2018-09-02 21:00:00+02:00,Sunday,565,25,590,29.5,0.0,0.0,1.7
2018-09-02,22,2018-09-02 22:00:00+02:00,Sunday,413,11,424,27.4,0.0,0.0,1.7
2018-09-02,23,2018-09-02 23:00:00+02:00,Sunday,373,4,377,26.9,0.0,0.0,1.7
2018-09-03,0,2018-09-03 00:00:00+02:00,Monday,250,4,254,25.3,0.0,0.0,1.7
2018-09-03,1,2018-09-03 01:00:00+02:00,Monday,157,4,161,24.6,0.0,0.0,1.7
2018-09-03,2,2018-09-03 02:00:00+02:00,Monday,95,0,95,23.6,0.0,0.0,1.7
2018-09-03,3,2018-09-03 03:00:00+02:00,Monday,64,0,64,21.8,0.0,0.0,1.7
2018-09-03,4,2018-09-03 04:00:00+02:00,Monday,53,0,53,21.6,0.0,0.0,1.7
2018-09-03,5,2018-09-03 05:00:00+02:00,Monday,62,0,62,24.6,0.0,0.0,1.7
2018-09-03,6,2018-09-03 06:00:00+02:00,Monday,101,1,102,24.1,0.0,0.0,1.7
2018-09-03,7,2018-09-03 07:00:00+02:00,Monday,485,1,486,22.9,0.0,0.0,1.7
2018-09-03,8,2018-09-03 08:00:00+02:00,Monday,1136,3,1139,20.9,0.0,0.0,1.7
2018-09-03,9,2018-09-03 09:00:00+02:00,Monday,828,2,830,22.0,0.0,0.0,1.7
2018-09-03,10,2018-09-03 10:00:00+02:00,Monday,421,6,427,25.0,0.0,0.0,1.7
2018-09-03,11,2018-09-03 11:00:00+02:00,Monday,416,8,424,25.6,0.0,0.0,1.7
2018-09-03,12,2018-09-03 12:00:00+02:00,Monday,437,12,449,27.6,0.0,0.0,1.7
2018-09-03,13,2018-09-03 13:00:00+02:00,Monday,579,17,596,30.7,0.0,0.0,1.7
2018-09-03,14,2018-09-03 14:00:00+02:00,Monday,856,17,873,31.7,0.0,0.0,1.7
2018-09-03,15,2018-09-03 15:00:00+02:00,Monday,953,12,965,31.1,0.0,0.0,1.7
2018-09-03,16,2018-09-03 16:00:00+02:00,Monday,745,12,757,33.6,0.0,0.0,1.7
2018-09-03,17,2018-09-03 17:00:00+02:00,Monday,804,20,824,33.6,0.0,0.0,1.7
2018-09-03,18,2018-09-03 18:00:00+02:00,Monday,1123,15,1138,33.1,0.0,0.0,1.7
2018-09-03,19,2018-09-03 19:00:00+02:00,Monday,1129,20,1149,31.6,0.0,0.0,1.7
2018-09-03,20,2018-09-03 20:00:00+02:00,Monday,974,13,987,29.7,0.0,0.0,1.7
2018-09-03,21,2018-09-03 21:00:00+02:00,Monday,752,4,756,27.5,0.0,0.0,1.7
2018-09-03,22,2018-09-03 22:00:00+02:00,Monday,501,3,504,25.9,0.0,0.0,1.7
2018-09-03,23,2018-09-03 23:00:00+02:00,Monday,395,2,397,23.9,0.0,0.0,1.7
2018-09-04,0,2018-09-04 00:00:00+02:00,Tuesday,351,14,365,24.3,0.0,0.0,1.1
2018-09-04,1,2018-09-04 01:00:00+02:00,Tuesday,212,18,230,22.4,0.0,0.0,1.1
2018-09-04,2,2018-09-04 02:00:00+02:00,Tuesday,129,3,132,22.7,0.0,0.0,1.1
2018-09-04,3,2018-09-04 03:00:00+02:00,Tuesday,75,2,77,20.1,0.0,0.0,1.1
2018-09-04,4,2018-09-04 04:00:00+02:00,Tuesday,50,0,50,21.0,0.0,0.0,1.1
2018-09-04,5,2018-09-04 05:00:00+02:00,Tuesday,51,0,51,20.1,0.0,0.0,1.1
2018-09-04,6,2018-09-04 06:00:00+02:00,Tuesday,111,1,112,17.8,0.0,0.0,1.1
2018-09-04,7,2018-09-04 07:00:00+02:00,Tuesday,525,2,527,17.0,0.0,0.0,1.1
2018-09-04,8,2018-09-04 08:00:00+02:00,Tuesday,1215,1,1216,16.7,0.0,0.0,1.1
2018-09-04,9,2018-09-04 09:00:00+02:00,Tuesday,911,0,911,18.6,0.0,0.0,1.1
2018-09-04,10,2018-09-04 10:00:00+02:00,Tuesday,471,4,475,22.6,0.0,0.0,1.1
2018-09-04,11,2018-09-04 11:00:00+02:00,Tuesday,449,6,455,24.0,0.0,0.0,1.1
2018-09-04,12,2018-09-04 12:00:00+02:00,Tuesday,460,12,472,,,,
2018-09-04,13,2018-09-04 13:00:00+02:00,Tuesday,656,13,669,26.1,0.0,0.0,1.1
2018-09-04,14,2018-09-04 14:00:00+02:00,Tuesday,929,8,937,29.8,0.0,0.0,1.1
2018-09-04,15,2018-09-04 15:00:00+02:00,Tuesday,1022,12,1034,29.4,0.0,0.0,1.1
2018-09-04,16,2018-09-04 16:00:00+02:00,Tuesday,784,14,798,30.6,0.0,0.0,1.1
2018-09-04,17,2018-09-04 17:00:00+02:00,Tuesday,866,12,878,29.7,0.0,0.0,1.1
2018-09-04,18,2018-09-04 18:00:00+02:00,Tuesday,1232,13,1245,30.7,0.0,0.0,1.1
2018-09-04,19,2018-09-04 19:00:00+02:00,Tuesday,1255,8,1263,29.6,0.0,0.0,1.1
2018-09-04,20,2018-09-04 20:00:00+02:00,Tuesday,1116,14,1130,28.1,0.0,0.0,1.1
2018-09-04,21,2018-09-04 21:00:00+02:00,Tuesday,766,9,775,25.6,0.0,0.0,1.1
2018-09-04,22,2018-09-04 22:00:00+02:00,Tuesday,539,5,544,23.0,0.0,0.0,1.1
2018-09-04,23,2018-09-04 23:00:00+02:00,Tuesday,460,4,464,22.0,0.0,0.0,1.1
2018-09-05,0,2018-09-05 00:00:00+02:00,Wednesday,432,9,441,21.1,0.0,0.0,2.35
2018-09-05,1,2018-09-05 01:00:00+02:00,Wednesday,219,1,220,20.7,0.0,0.0,2.35
2018-09-05,2,2018-09-05 02:00:00+02:00,Wednesday,146,0,146,19.9,0.0,0.0,2.35
2018-09-05,3,2018-09-05 03:00:00+02:00,Wednesday,94,0,94,19.6,0.0,0.0,2.35
2018-09-05,4,2018-09-05 04:00:00+02:00,Wednesday,54,0,54,17.9,0.0,0.0,2.35
2018-09-05,5,2018-09-05 05:00:00+02:00,Wednesday,51,1,52,16.9,0.0,0.0,2.35
2018-09-05,6,2018-09-05 06:00:00+02:00,Wednesday,116,0,116,16.6,0.0,0.0,2.35
2018-09-05,7,2018-09-05 07:00:00+02:00,Wednesday,536,0,536,16.9,0.0,0.0,2.35
2018-09-05,8,2018-09-05 08:00:00+02:00,Wednesday,1198,3,1201,16.5,0.0,0.0,2.35
2018-09-05,9,2018-09-05 09:00:00+02:00,Wednesday,968,3,971,18.4,0.0,0.0,2.35
